hitid	hittypeid	title	description	keywords	reward	creationtime	assignments	numavailable	numpending	numcomplete	hitstatus	reviewstatus	annotation	assignmentduration	autoapprovaldelay	hitlifetime	viewhit	assignmentid	workerid	assignmentstatus	autoapprovaltime	assignmentaccepttime	assignmentsubmittime	assignmentapprovaltime	assignmentrejecttime	deadline	feedback	reject	Answer.item	Answer.target_property	Answer.target_position	Answer.left_items	Answer.middle_items	Answer.right_items	Answer.position_chosen	Answer.items_chosen	Answer.target_frequency	Answer.familiarization_cond	Answer.participant_response_type_condition	Answer.participant_feature_count_condition	Answer.linguistic_framing_condition	Answer.target_filler_sequence_condition	Answer.question_type_condition	Answer.manip_check_target	Answer.manip_check_dist	Answer.manip_check_foil	Answer.name_check_correct	Answer.choice	Answer.choice_correct	Answer.money_allocated_to_foil	Answer.money_allocated_to_target	Answer.money_allocated_to_logical	Answer.Likert_value_foil	Answer.Likert_value_target	Answer.Likert_value_logical	Answer.about	Answer.comment	Answer.age	Answer.gender	Answer.scale_and_levels_condition	Answer.familiarization_present_in_study	Answer.top_question_order	Answer.middle_question_order	Answer.bottom_question_order	Answer.image_version	Answer.color_salience	Answer.hand_position
3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	3J2GQK7M7OWTQ70X0FXPUM0WH1TOPK	Answer a quick experimental question (1-2 mins)	Short and fun! A 1-2 minute word game about what someone is talking about.	"experiment, psychology, game"	$0.20	Mon Jun 08 14:59:41 PDT 2015	540	0	0	0	Reviewable	NotReviewed	1 condition	600	86400	Fri Jun 12 18:59:41 PDT 2015	https://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	3WYP994K17SG78B5OF6ZUHAB8ZWY6S	A17Y0LJ0OO8ODX	Submitted	Tue Jun 09 15:01:15 PDT 2015	Mon Jun 08 15:00:20 PDT 2015	Mon Jun 08 15:01:15 PDT 2015						"""plate"""	"""spoon2"""	"""middle"""	"""fork2,spoon1,"""	"""spoon1,"""	undefined	"""middle"""	"""spoon1,"""	0	-1	0	1	1	0	0	"""2"""	"""1"""	-1	"""TRUE"""	"""Doubled_feature"""	"""FALSE"""	-1	-1	-1	-1	-1	-1	"""Communication of a negative"""	""""""	"""44"""	"""m"""	10	0	1	2	0	"""3"""	0	-1
3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	3J2GQK7M7OWTQ70X0FXPUM0WH1TOPK	Answer a quick experimental question (1-2 mins)	Short and fun! A 1-2 minute word game about what someone is talking about.	"experiment, psychology, game"	$0.20	Mon Jun 08 14:59:41 PDT 2015	540	0	0	0	Reviewable	NotReviewed	1 condition	600	86400	Fri Jun 12 18:59:41 PDT 2015	https://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	34V1S5K3GS21673XG3EJV0HKZQC69C	AYUIMF5P6V7KD	Submitted	Tue Jun 09 15:01:18 PDT 2015	Mon Jun 08 15:00:51 PDT 2015	Mon Jun 08 15:01:18 PDT 2015						"""house"""	"""bicycle1"""	"""left"""	"""bicycle1,"""	"""bicycle1,"""	undefined	"""left"""	"""bicycle1,"""	0	-1	0	1	1	0	0	"""2"""	"""1"""	-1	"""TRUE"""	"""One_feature"""	"""FALSE"""	-1	-1	-1	-1	-1	-1	"""BOB"""	"""NO"""	"""22"""	"""M"""	11	0	1	2	0	"""3"""	0	-1
3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	3J2GQK7M7OWTQ70X0FXPUM0WH1TOPK	Answer a quick experimental question (1-2 mins)	Short and fun! A 1-2 minute word game about what someone is talking about.	"experiment, psychology, game"	$0.20	Mon Jun 08 14:59:41 PDT 2015	540	0	0	0	Reviewable	NotReviewed	1 condition	600	86400	Fri Jun 12 18:59:41 PDT 2015	https://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	3AMW0RGHOD3U5FPWW9WXJ13LZKIPNZ	A356795ET25HER	Submitted	Tue Jun 09 15:01:19 PDT 2015	Mon Jun 08 15:00:27 PDT 2015	Mon Jun 08 15:01:19 PDT 2015						"""house"""	"""car2"""	"""right"""	"""car1,"""	"""bicycle1,"""	"""car1,"""	"""middle"""	"""bicycle1,"""	0	-1	0	1	16	0	0	"""3"""	"""1"""	-1	"""TRUE"""	"""Two_features"""	"""FALSE"""	-1	-1	-1	-1	-1	-1	"""To see what Bob was up to."""	"""none"""	"""32"""	"""m"""	9	0	0	2	1	"""3"""	0	-1
3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	3J2GQK7M7OWTQ70X0FXPUM0WH1TOPK	Answer a quick experimental question (1-2 mins)	Short and fun! A 1-2 minute word game about what someone is talking about.	"experiment, psychology, game"	$0.20	Mon Jun 08 14:59:41 PDT 2015	540	0	0	0	Reviewable	NotReviewed	1 condition	600	86400	Fri Jun 12 18:59:41 PDT 2015	https://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	33L7PJKHCGZ7U0VZ7OGY6EENZS58T0	A20RO10FV0IOX	Submitted	Tue Jun 09 15:01:24 PDT 2015	Mon Jun 08 15:00:54 PDT 2015	Mon Jun 08 15:01:24 PDT 2015						"""lunchbox"""	"""apple1"""	"""middle"""	"""apple1,"""	"""apple1,apple2,"""	"""apple1,"""	"""middle"""	"""apple1,apple2,"""	0	-1	0	1	15	0	0	"""3"""	"""1"""	-1	"""TRUE"""	"""Doubled_feature"""	"""FALSE"""	-1	-1	-1	-1	-1	-1	"""lunchboxes"""	"""no"""	"""27"""	"""f"""	9	0	2	1	0	"""3"""	0	-1
3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	3J2GQK7M7OWTQ70X0FXPUM0WH1TOPK	Answer a quick experimental question (1-2 mins)	Short and fun! A 1-2 minute word game about what someone is talking about.	"experiment, psychology, game"	$0.20	Mon Jun 08 14:59:41 PDT 2015	540	0	0	0	Reviewable	NotReviewed	1 condition	600	86400	Fri Jun 12 18:59:41 PDT 2015	https://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	33F859I566E0RP2BA6JJJX10W4VHBY	ACOKFBC75D5OR	Submitted	Tue Jun 09 15:01:34 PDT 2015	Mon Jun 08 15:00:54 PDT 2015	Mon Jun 08 15:01:34 PDT 2015						"""house"""	"""car2"""	"""left"""	""""""	"""bicycle2,car1,"""	undefined	"""middle"""	"""bicycle2,car1,"""	0	-1	0	1	16	0	0	"""2"""	"""1"""	-1	"""TRUE"""	"""Two_features"""	"""FALSE"""	-1	-1	-1	-1	-1	-1	"""Bob who likes to look at houses"""	""""""	"""23"""	"""m"""	11	0	1	0	2	"""3"""	0	-1
3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	3J2GQK7M7OWTQ70X0FXPUM0WH1TOPK	Answer a quick experimental question (1-2 mins)	Short and fun! A 1-2 minute word game about what someone is talking about.	"experiment, psychology, game"	$0.20	Mon Jun 08 14:59:41 PDT 2015	540	0	0	0	Reviewable	NotReviewed	1 condition	600	86400	Fri Jun 12 18:59:41 PDT 2015	https://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	33TIN5LC04B3PRD3MM9BER1DY04Y93	A1FS7TOX5KIWT8	Submitted	Tue Jun 09 15:01:36 PDT 2015	Mon Jun 08 15:00:45 PDT 2015	Mon Jun 08 15:01:36 PDT 2015						"""plate"""	"""spoon2"""	"""left"""	"""spoon1,"""	"""spoon1,"""	"""fork1,"""	"""right"""	"""fork1,"""	0	-1	0	1	16	0	0	"""3"""	"""1"""	-1	"""TRUE"""	"""Two_features"""	"""FALSE"""	-1	-1	-1	-1	-1	-1	"""Bob who liked to find plates."""	""""""	"""19"""	"""m"""	9	0	1	2	0	"""3"""	0	-1
3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	3J2GQK7M7OWTQ70X0FXPUM0WH1TOPK	Answer a quick experimental question (1-2 mins)	Short and fun! A 1-2 minute word game about what someone is talking about.	"experiment, psychology, game"	$0.20	Mon Jun 08 14:59:41 PDT 2015	540	0	0	0	Reviewable	NotReviewed	1 condition	600	86400	Fri Jun 12 18:59:41 PDT 2015	https://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	3TVRFO09GKG9QOO26NQZ0MLZWOSLXI	A2LEY4X3LD8G26	Submitted	Tue Jun 09 15:01:36 PDT 2015	Mon Jun 08 15:01:05 PDT 2015	Mon Jun 08 15:01:36 PDT 2015						"""lunchbox"""	"""apple1"""	"""middle"""	"""apple1,"""	"""apple1,"""	undefined	"""left"""	"""apple1,"""	0	-1	0	1	16	0	0	"""2"""	"""1"""	-1	"""TRUE"""	"""Two_features"""	"""FALSE"""	-1	-1	-1	-1	-1	-1	"""How people make judgments"""	"""None"""	"""28"""	"""m"""	11	0	0	1	2	"""3"""	0	-1
3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	3J2GQK7M7OWTQ70X0FXPUM0WH1TOPK	Answer a quick experimental question (1-2 mins)	Short and fun! A 1-2 minute word game about what someone is talking about.	"experiment, psychology, game"	$0.20	Mon Jun 08 14:59:41 PDT 2015	540	0	0	0	Reviewable	NotReviewed	1 condition	600	86400	Fri Jun 12 18:59:41 PDT 2015	https://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	38YMOXR4MU0CI3G59EOB9KPVXRY6W3	A1CIRAH2RTE7G8	Submitted	Tue Jun 09 15:01:47 PDT 2015	Mon Jun 08 15:01:06 PDT 2015	Mon Jun 08 15:01:47 PDT 2015						"""house"""	"""bicycle1"""	"""right"""	"""bicycle1,"""	"""bicycle1,"""	"""bicycle1,bicycle2,"""	"""middle"""	"""bicycle1,"""	0	-1	0	1	15	0	0	"""3"""	"""1"""	-1	"""TRUE"""	"""One_feature"""	"""FALSE"""	-1	-1	-1	-1	-1	-1	"""A guy who likes to look at houses."""	"""none"""	"""25"""	"""f"""	9	0	1	2	0	"""3"""	0	-1
3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	3J2GQK7M7OWTQ70X0FXPUM0WH1TOPK	Answer a quick experimental question (1-2 mins)	Short and fun! A 1-2 minute word game about what someone is talking about.	"experiment, psychology, game"	$0.20	Mon Jun 08 14:59:41 PDT 2015	540	0	0	0	Reviewable	NotReviewed	1 condition	600	86400	Fri Jun 12 18:59:41 PDT 2015	https://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	31LVTDXBL7BPTS2QXOK7B4ZBV77LRM	A1KFGU5623A7H	Submitted	Tue Jun 09 15:01:48 PDT 2015	Mon Jun 08 15:00:29 PDT 2015	Mon Jun 08 15:01:48 PDT 2015						"""lunchbox"""	"""apple1"""	"""middle"""	"""apple1,"""	"""apple1,apple2,"""	"""apple1,"""	"""right"""	"""apple1,"""	0	-1	0	1	16	0	0	"""3"""	"""1"""	-1	"""TRUE"""	"""Two_features"""	"""FALSE"""	-1	-1	-1	-1	-1	-1	"""lunchboxes"""	"""none"""	"""56"""	"""f"""	9	0	0	1	2	"""3"""	0	-1
3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	3J2GQK7M7OWTQ70X0FXPUM0WH1TOPK	Answer a quick experimental question (1-2 mins)	Short and fun! A 1-2 minute word game about what someone is talking about.	"experiment, psychology, game"	$0.20	Mon Jun 08 14:59:41 PDT 2015	540	0	0	0	Reviewable	NotReviewed	1 condition	600	86400	Fri Jun 12 18:59:41 PDT 2015	https://requester.mturk.com/mturk/manageHIT?HITId=3PUV2Q8SV44GSPZGY8VR3SQH6CFDBO	39N5ACM9HEO9GDL2VZDS1081UV39PM	A142ZRU284W9O	Submitted	Tue Jun 09 15:01:54 PDT 2015	Mon Jun 08 15:01:20 PDT 2015	Mon Jun 08 15:01:54 PDT 2015						"""plate"""	"""spoon2"""	"""left"""	"""spoon1,"""	"""fork1,"""	undefined	"""middle"""	"""fork1,"""	0	-1	0	1	1	0	0	"""2"""	"""1"""	-1	"""TRUE"""	"""Two_features"""	"""FALSE"""	-1	-1	-1	-1	-1	-1	"""Meaning of language"""	""""""	"""33"""	"""m"""	11	0	2	1	0	"""3"""	0	-1
